SMILES_solute,SMILES_solvent,T/K,COSMO-SAC1,lngamma1,x1,dlnr1,index
CCCCC,CCC#N,298.15,1.914083276,2.1138,1.00E-08,0.199716724,47
CCCCC,CCC#N,293.2,1.954852731,2.1436,1.00E-08,0.188747269,48
CCCCC,CCC#N,293.15,1.955269937,2.1436,1.00E-08,0.188330063,49
CCCCC,CCC#N,298.2,1.913676812,2.049,1.00E-08,0.135323188,50
CCCCCCCCC,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,384.15,-0.345621521,-0.2485,1.00E-08,0.097121521,51
CCCCCCCCC,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,353.15,-0.345576669,-0.2614,1.00E-08,0.084176669,52
CCCCCCCCC,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,412.15,-0.345646026,-0.2231,1.00E-08,0.122546026,53
CCCCCCCCC,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,298.15,-0.345443761,-0.2877,1.00E-08,0.057743761,54
CCCCCCCCC,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,298.2,-0.34544389,-0.3857,1.00E-08,-0.04025611,55
CCCCCCCC,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,384.15,-0.417531973,-0.3425,1.00E-08,0.075031973,56
CCCCCCCC,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,353.15,-0.417492244,-0.3567,1.00E-08,0.060792244,57
CCCCCCCC,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,412.15,-0.417554141,-0.3285,1.00E-08,0.089054141,58
CCCCCCCC,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,338.2,-0.417466099,0.0026,1.00E-08,0.420066099,59
CCCCCCCC,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,298.15,-0.417385203,-0.3285,1.00E-08,0.088885203,60
CCCCCCCC,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,303.15,-0.41739458,-0.3567,1.00E-08,0.06069458,61
CCCCCCCC,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,298.2,-0.417385293,-0.3425,1.00E-08,0.074885293,62
CCCCC,CCCC#N,298.15,1.293615111,1.6771,1.00E-08,0.383484889,63
CCCCC,CCCC#N,298.2,1.293329758,1.6014,1.00E-08,0.308070242,64
CCCCC,CC(=O)N(C)C,298.15,1.114637494,2.2148,1.00E-08,1.100162506,65
CCCCC,CC(=O)N(C)C,313.15,1.073172004,2.1187,1.00E-08,1.045527996,66
CCCCC,CC(=O)N(C)C,297.15,1.117433559,2.4069,1.00E-08,1.289466441,67
CCCCC,CC(=O)N(C)C,317.6,1.061066844,1.9257,1.00E-08,0.864633156,68
CCCCC,CC(=O)N(C)C,317.62,1.061012663,1.9251,1.00E-08,0.864087337,69
CCCCC,CC(=O)N(C)C,303.56,1.099574368,2.0738,1.00E-08,0.974225632,70
CCCCC,CC(=O)N(C)C,333.41,1.018908396,1.7731,1.00E-08,0.754191604,71
CCCCC,CC(=O)N(C)C,303.6,1.099463418,2.0744,1.00E-08,0.974936582,72
CCCCC,CC(=O)N(C)C,333.4,1.018934616,1.7733,1.00E-08,0.754365384,73
CCCCC,CC(=O)N(C)C,298.2,1.114497782,2.1353,1.00E-08,1.020802218,74
CCCCC,CC(=O)c1ccccc1,298.15,1.145374679,1.831,1.00E-08,0.685625321,75
CCCCC,CC(=O)c1ccccc1,293.15,1.173390483,1.7918,1.00E-08,0.618409517,76
CCCCC,CC(=O)c1ccccc1,298.2,1.145099276,1.6544,1.00E-08,0.509300724,77
CCCCC,CC(C)=O,298.15,1.427554757,1.6639,1.00E-08,0.236345243,78
CCCCC,CC(C)=O,308.15,1.3809571,1.6658,1.00E-08,0.2848429,79
CCCCC,CC(C)=O,303.15,1.404072116,1.7527,1.00E-08,0.348627884,80
CCCCC,CC(C)=O,303.2,1.403839139,1.7647,1.00E-08,0.360860861,81
CCCCC,CC(C)=O,318.3,1.33517687,1.5063,1.00E-08,0.17112313,82
CCCCC,CC(C)=O,323.2,1.313627459,1.4563,1.00E-08,0.142672541,83
CCCCC,CC(C)=O,298.2,1.427318125,1.6371,1.00E-08,0.209781875,84
C1CCCCC1,c1ccc2ncccc2c1,293.15,0.978225351,1.737,1.00E-08,0.758774649,85
C1CCCCC1,c1ccc2ncccc2c1,298.2,0.95396283,1.4702,1.00E-08,0.51623717,86
C1CCCCC1,c1ccc2ncccc2c1,333.15,0.806924734,1.3813,1.00E-08,0.574375266,87
C1CCCCC1,c1ccc2ncccc2c1,298.15,0.95419893,1.4702,1.00E-08,0.51600107,88
CC1CCCCC1,Cc1cccc2ccccc12,293.15,0.495462943,0.9933,1.00E-08,0.497837057,89
CCCCCCC,c1ccc2ncccc2c1,293.2,1.345971042,2.2565,1.00E-08,0.910528958,90
CCCCCCC,c1ccc2ncccc2c1,333.15,1.116736169,1.9066,1.00E-08,0.789863831,91
C1CCCCC1,Clc1cccc2ccccc12,293.15,0.326385202,0.9821,1.00E-08,0.655714798,92
C1CCCCC1,Clc1cccc2ccccc12,298.15,0.315079028,0.6729,1.00E-08,0.357820972,93
CCC(C)(C)C,c1ccc2cnccc2c1,293.15,1.001625561,2.338,1.00E-08,1.336374439,94
CCC(C)(C)CC,c1ccc2cnccc2c1,293.15,1.138695108,2.2844,1.00E-08,1.145704892,95
CC1CCCCC1,Nc1ccccc1,293.2,2.745506804,2.8639,1.00E-08,0.118393196,96
CC1CCCCC1,Nc1ccccc1,293.15,2.746139639,2.8622,1.00E-08,0.116060361,97
CC1CCCCC1,Nc1ccccc1,298.15,2.683860786,2.8154,1.00E-08,0.131539214,98
CCC(CC)CC,c1ccc2cnccc2c1,293.15,1.230490079,2.2148,1.00E-08,0.984309921,99
c1ccccc1,Cc1ccnc2ccccc12,293.15,-0.065814958,0.4187,1.00E-08,0.484514958,100
CCC(C)CC,Cc1ccnc2ccccc12,293.15,0.885533028,1.8825,1.00E-08,0.996966972,101
CC1CCCCC1,Cc1ccc2ccccc2n1,293.15,0.88101901,1.5217,1.00E-08,0.64068099,102
c1ccccc1,Cc1cccc2ccccc12,293.15,-0.059848717,0.27,1.00E-08,0.329848717,103
c1ccccc1,Cc1cccc2ccccc12,298.15,-0.060123165,0.2151,1.00E-08,0.275223165,104
c1ccccc1,Cc1cccc2ccccc12,393.15,-0.063740314,0.1222,1.00E-08,0.185940314,105
c1ccccc1,Cc1cccc2ccccc12,333.15,-0.061761983,0.2776,1.00E-08,0.339361983,106
CCC(C)(C)CC,c1ccc2ncccc2c1,293.15,1.112021679,2.3263,1.00E-08,1.214278321,107
CCC(C)C,Clc1cccc2ccccc12,293.15,0.282841391,1.3429,1.00E-08,1.060058609,108
CCC(C)C,Clc1cccc2ccccc12,298.15,0.273300299,1.5019,1.00E-08,1.228599701,109
CC1CCCC1,Nc1ccccc1,293.2,2.477942928,2.6174,1.00E-08,0.139457072,110
CC1CCCC1,Nc1ccccc1,293.15,2.47851421,2.6174,1.00E-08,0.13888579,111
C1CCCC1,Nc1ccccc1,293.2,2.13928638,2.217,1.00E-08,0.07771362,112
CCC(C)C,Nc1ccccc1,293.15,2.308523499,3.0101,1.00E-08,0.701576501,113
