Normalized SMILES,index,sigma_1,sigma_2,sigma_3,sigma_4,sigma_5,sigma_6,sigma_7,sigma_8,sigma_9,sigma_10,sigma_11,sigma_12,sigma_13,sigma_14,sigma_15,sigma_16,sigma_17,sigma_18,sigma_19,sigma_20,sigma_21,sigma_22,sigma_23,sigma_24,sigma_25,sigma_26,sigma_27,sigma_28,sigma_29,sigma_30,sigma_31,sigma_32,sigma_33,sigma_34,sigma_35,sigma_36,sigma_37,sigma_38,sigma_39,sigma_40,sigma_41,sigma_42,sigma_43,sigma_44,sigma_45,sigma_46,sigma_47,sigma_48,sigma_49,sigma_50,sigma_51,Vcosmo
O=C(O)CCCCC(S)CCS,1,0,0,0,0,0.113,0.56,1.031,1.225,1.318,1.027,0.483,0.267,0.548,0.979,1.568,2.796,4.162,5.423,7.703,12.62,18.706,22.19,21.939,18.752,15.025,13.013,11.064,8.394,6.656,6.536,8.856,10.605,8.179,5.25,6.278,9.214,9.265,6.133,3.233,1.688,0.582,0.035,0,0,0,0,0,0,0,0,0,263.9411
NC(CC(=O)O)C(=O)O,2,0,0,0,0.071,0.561,1.615,2.369,2.637,2.529,1.485,0.544,1.363,3.168,3.694,3.117,3.752,6.009,7.319,6.35,4.878,4.601,5.585,6.487,6.092,4.543,2.962,2.275,2.483,2.749,3.448,5.573,6.491,5.198,5.015,6.287,8.312,9.239,7.286,4.802,2.392,0.693,0.58,0.783,0.715,0.436,0.2,0.074,0.016,0,0,0,150.0318
NCCCCNC(N)=O,3,0,0,0,0,0,0,0,0.094,0.926,2.511,3.52,3.428,3.193,3.568,4.161,3.945,3.439,3.856,4.126,4.225,6.631,11.58,15.942,16.106,12.869,10.329,9.141,7.892,6.062,4.46,3.829,3.024,2.021,2.199,2.611,2.195,1.955,1.981,2.118,2.956,4.26,4.91,4.084,2.35,1.067,0.573,0.377,0.476,0.612,0.316,0.03,175.8818
CC(N)C(N)CCCCCC(=O)O,4,0,0,0,0.002,0.12,0.61,1.064,1.103,1.162,1.023,0.546,0.283,0.631,1.745,3.326,4.122,4.361,6.244,8.005,8.111,10.779,17.524,23.398,24.541,21.494,16.614,12.964,11.561,10.276,7.743,5.295,4.563,4.421,3.61,3.629,4.868,5.725,5.153,3.955,2.877,1.658,0.734,0.551,0.984,1.281,1.205,1.116,0.757,0.263,0.043,0,260.4025
O=CCc1ccccc1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121,1.253,4.178,7.974,12.21,14.847,13.235,9.697,7.021,6.15,6.9,7.189,6.195,6.463,7.781,8.489,8.593,7.501,6.21,4.503,3.067,3.296,3.296,2.507,2.104,1.64,0.757,0.161,0,0,0,0,0,0,0,0,0,157.8206
O=C(O)C1=CC(O)C(O)C(O)C1,6,0,0,0,0.058,0.292,0.851,1.658,3.18,4.413,3.355,2.617,3.811,4.213,3.058,1.773,1.695,2.879,5.355,8.739,10.918,10.148,7.87,7.435,8.014,7.206,5.596,4.37,4.421,4.685,3.968,3.734,4.156,4.39,4.545,4.347,4.939,6.534,7.395,6.907,5.02,3.65,4.06,3.785,1.815,0.306,0,0,0,0,0,0,193.6633
O=C(O)C1CCCNC1C(=O)O,7,0,0,0,0.06,0.55,1.646,2.484,2.739,2.469,1.392,0.58,1.299,2.621,2.755,1.948,1.448,1.684,2.506,4.143,7.038,11.394,15.174,15.006,12.394,10.32,8.488,6.713,5.347,3.998,3.387,4.487,5.147,4.346,4.197,5.788,8.417,8.804,6.315,3.939,2.267,1.407,1.112,0.629,0.432,0.579,0.506,0.276,0.147,0.049,0,0,199.0502
COc1ccc2[nH]c3c(c2c1)CCNC3,8,0,0,0,0,0,0,0.04,0.389,0.995,1.164,1.06,1.337,1.917,2.288,2.059,1.613,1.559,3.289,8.249,14.408,17.939,18.378,17.615,16.27,14.228,11.617,9.365,7.881,6.907,8.143,11.218,12.501,11.254,8.858,5.932,3.429,2.008,1.764,1.915,1.329,0.577,0.523,0.811,0.808,0.484,0.189,0.336,0.53,0.248,0.005,0,245.4312
C=C(C)C1CC=C2CCCC(C)C2(C)C1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217,2.555,10.574,23.225,32.097,31.292,25.533,21.822,22.196,24.321,21.198,12.534,6.243,4.436,4.036,3.534,2.811,1.636,0.514,0.066,0,0,0,0,0,0,0,0,0,0,0,0,0,295.0482
CC(C)(CO)C(O)C(=O)NCCCC(=O)O,10,0,0,0,0.026,0.179,0.8,1.548,2.338,3.303,3.356,3.155,3.484,3.577,3.085,2.111,1.721,3.117,5.645,8.647,13.165,17.617,19.359,18.39,15.86,13.254,11.448,11.52,12.22,10.027,6.461,5,4.748,3.909,3.783,4.877,5.97,7.859,8.94,8.528,8.208,6.295,3.365,1.286,0.217,0,0,0,0,0,0,0,288.7757
CC(C)OC(=O)Nc1cccc(Cl)c1,11,0,0,0,0,0,0.007,0.156,0.593,1.222,1.399,0.866,0.429,0.624,1.009,1.288,1.842,2.801,4.546,7.037,10.051,13.489,15.687,15.489,14.966,15.157,15.774,18.706,21.2,20.623,18.998,14.174,6.713,2.638,2.613,3.156,2.956,3.183,3.43,2.163,0.629,0.073,0,0,0,0,0,0,0,0,0,0,251.2152
NC1CCCCCC1,12,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.343,1.347,2.058,2.112,2.421,2.58,2.164,2.718,8.128,16.529,21.19,21.823,19.352,15.792,13.777,10.508,5.756,2.258,0.728,0.544,0.551,0.473,0.643,0.74,0.585,0.616,0.515,0.168,0.145,0.598,1.084,1.029,0.566,0.211,0.314,0.624,0.494,0.129,165.7568
CCOC(=O)OC(=O)OCC,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.146,6.189,13.689,18.312,19.483,18.991,16.11,11.645,8.964,10.056,10.603,6.749,3.48,3.165,3.587,5.269,6.993,7.419,8.404,8.336,5.646,3.092,2.079,1.504,0.543,0,0,0,0,0,0,0,0,0,0,188.1079
OCC(S)CS,14,0,0,0,0,0,0.012,0.193,0.764,1.206,0.999,0.862,0.989,1.001,1.016,1.431,2.406,3.412,5.186,8.339,11,11.171,9.31,7.347,6.085,5.305,4.563,4.127,4.323,4.489,5.874,8.261,7.946,5.689,5.083,5.956,5.953,4.294,2.324,1.353,1.272,1.16,0.697,0.211,0.006,0,0,0,0,0,0,0,148.8563
O=C(O)C(S)Cc1ccccc1,15,0,0,0,0.097,0.577,1.153,1.359,1.287,0.888,0.446,0.427,0.776,0.891,0.592,1.275,2.449,3.08,5.633,10.942,14.254,13.071,10.989,9.718,8.727,8.236,8.472,8.694,8.906,10.217,12.461,13.282,11.097,8.507,6.717,5.955,6.268,5.184,2.905,1.244,0.316,0,0,0,0,0,0,0,0,0,0,0,219.4712
NC(=O)NC(=O)Cc1ccccc1,16,0,0,0,0.03,0.274,0.948,1.653,2.039,2.696,3.313,3.027,2.555,2.434,2.102,1.756,2.135,3.675,6.704,10.755,12.967,11.683,9.071,7.989,8.784,8.95,8.61,8.469,8.527,9.09,9.382,9.047,8.041,6.987,5.137,3.221,2.587,3.114,4.878,6.028,5.576,4.444,3.131,1.992,1.138,0.371,0,0,0,0,0,0,214.9566
O=S(=O)(O)CC(S)CS,17,0.064,0.359,0.677,0.751,0.836,1.1,1.263,0.993,0.729,0.652,0.4,0.36,1.131,2.981,5.272,7.365,8.91,8.749,7.406,6.958,6.441,4.675,4.167,5.121,5.989,6.58,5.932,4.78,5.932,8.61,9.202,8.221,8.243,10.49,13.31,12.577,7.51,2.298,0.208,0,0,0,0,0,0,0,0,0,0,0,0,195.9694
CC(Cl)(Cl)C(=O)O,18,0,0,0.085,0.547,1.111,1.337,1.34,0.964,0.488,0.612,0.968,0.753,0.299,0.237,0.398,0.898,2.37,4.249,5.203,5.28,6.567,7.54,6.176,6.641,8.248,6.61,4.054,6.436,11.809,13.831,11.675,7.025,3.991,3.797,3.855,3.429,2.755,1.738,0.644,0.109,0,0,0,0,0,0,0,0,0,0,0,140.997
Nc1ccc2cc(S(=O)(=O)O)ccc2c1,19,0.003,0.176,0.536,0.813,0.74,0.658,1.046,1.251,1.326,2.16,3.121,3.195,3,2.873,2.276,2.497,5.626,9.554,10.209,8.722,7.378,6.058,5.46,5.752,6.685,7.85,9.123,12.659,17.562,19.017,15.245,9.843,7.064,7.897,10.446,10.864,7.186,2.399,0.208,0,0,0,0,0,0,0,0,0,0,0,0,239.2248
CC(O)C(=O)Oc1ccc2ccccc2c1,20,0,0,0,0,0,0.064,0.308,0.77,0.924,0.83,1.14,1.209,0.811,0.549,0.588,1.293,4.359,10.902,17.084,17.858,14.805,12.175,10.833,9.964,9.817,11.495,13.258,14.32,17.011,17.905,14.17,9.501,5.441,2.723,2.477,3.708,3.995,3.307,2.903,2.408,2.336,2.175,1.093,0.197,0,0,0,0,0,0,0,258.9529
CN(C)C1CCCCC1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239,1.908,6.064,12.894,20.148,23.864,24.662,24.069,21.843,18.334,11.824,4.662,1.637,1.102,0.603,0.354,0.383,0.406,0.331,0.261,0.27,0.23,0.285,0.741,0.927,0.504,0.327,0.457,0.418,0.252,0.076,0,0,188.2115
CCCCOP(OCCCC)OCCCC,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087,1.982,7.216,19.629,35.639,44.845,45.176,36.314,27.492,25.11,24.47,20.502,10.502,3.272,1.82,1.598,2.124,2.897,3.57,4.136,4.408,4.747,4.415,2.361,0.478,0,0,0,0,0,0,0,0,0,342.896
Cc1ccc(S)cc1,23,0,0,0,0,0,0,0,0,0,0,0,0.005,0.266,1.08,1.835,1.834,2.281,4.475,7.121,9.291,10.709,10.135,8.617,7.494,7.327,9.389,11.121,10.913,10.783,10.701,10.83,10.722,9.026,5.668,2.15,0.413,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.9729
CCCCOP(=O)(O)OCCCC,24,0,0,0.007,0.146,0.768,1.153,0.848,0.914,0.973,0.543,0.474,0.709,0.642,0.401,0.345,0.601,0.792,1.826,4.535,8.531,16.633,26.268,31.5,29.919,22.087,16.602,15.564,15.216,12.601,6.48,3.112,3.504,4.464,5.128,5.12,5.348,5.186,3.619,2.573,3.783,4.298,2.161,0.328,0,0,0,0,0,0,0,0,263.0461
NC(=O)CCC(N)=O,25,0,0,0,0,0,0,0,0.195,1.156,3.325,5.112,5.027,4.613,4.367,3.285,2.103,2.226,4.501,8.09,9.265,6.892,5.206,5.182,5.095,4.928,4.869,5.248,4.884,3.797,3.178,3.143,3.556,3.128,1.662,0.974,1.817,2.924,3.471,5.403,7.86,6.941,4.559,3.015,1.29,0.17,0,0,0,0,0,0,142.0297
O=C(C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105,0.971,3.569,7.278,7.343,5.14,8.795,13.603,11.365,10.974,21.159,33.888,34.5,19.995,6.627,3.407,3.485,2.957,1.839,0.618,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.0823
ClCCOP(OCCCl)OCCCl,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207,3.312,11.222,18.248,19.614,17.513,14.078,11.995,13.181,13.539,10.157,8.311,11.561,12.932,8.837,10.747,20.3,24.033,17.495,7.391,2.921,3.659,4.353,3.654,1.878,0.473,0.003,0,0,0,0,0,0,0,0,0,0,284.2647
NC(=O)Nc1ccc(Cl)cc1,28,0,0,0,0,0,0.19,1.046,1.921,2.301,3.275,3.674,2.77,2.298,2.09,1.894,2.393,4.361,6.336,6.246,5.383,4.687,4.668,5.082,5.029,6.012,7.85,9.578,13.443,18.369,20.198,17.238,10.043,3.526,1.139,0.92,1.596,1.942,1.79,2.724,3.451,2.656,1.497,0.69,0.197,0.015,0,0,0,0,0,0,188.8233
O=C(O)C(S)C(S)C(=O)O,29,0,0,0,0.255,1.351,2.338,2.504,2.652,1.974,0.794,0.822,2.007,3.878,5.799,6.176,4.762,3.584,3.581,3.666,3.245,3.26,4.408,5.525,5.292,5.134,5.854,6.634,8.316,10.119,10.898,10.56,9.537,9.028,7.534,6.409,7.362,6.861,5.148,3.642,1.523,0.176,0,0,0,0,0,0,0,0,0,0,192.3392
FC(F)(F)C(F)(F)OC(F)(F)C(F)(F)F,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.216,0.495,0.502,0.492,1.284,2.887,4.72,11.739,32.786,56.769,51.487,21.044,2.445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198.096
O=[N+]([O-])C(Br)(Br)Br,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.358,1.138,3.463,5.372,3.271,1.838,5.246,8.646,7.042,3.284,4.041,10.536,15.494,19.03,21.243,16.083,10.327,7.74,5.393,3.501,1.92,0.763,0.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.6207
C#CC#CC=C=CC1CCC(=O)O1,32,0,0,0,0,0,0,0,0,0,0.061,0.415,1.264,1.784,1.526,2.259,4.81,8.444,11.561,12.288,11.892,10.846,8.772,7.711,8.087,9.221,10.381,12.945,18.253,20.201,16.952,13.217,8.242,3.432,2.361,3.37,4.717,5.292,4.142,2.924,2.032,0.843,0.139,0,0,0,0,0,0,0,0,0,222.5438
N#CC(O)c1ccccc1,33,0,0,0,0,0.145,0.528,1.096,1.357,1.059,0.883,0.993,0.942,0.803,1.53,2.741,2.916,3.519,6.909,10.355,9.735,7.273,6.499,6.274,5.263,5.5,7.194,8.427,9.49,10.181,10.358,10.081,8.411,6.077,5.16,4.956,4.635,4.463,3.653,2.565,1.263,0.218,0,0,0,0,0,0,0,0,0,0,170.3783
NNC(=O)Nc1ccccc1,34,0,0,0,0,0.037,0.357,1.158,1.778,1.701,1.679,1.995,2.129,2.787,3.601,3.383,3.437,3.747,4.138,6.638,9.465,8.806,6.769,6.703,7.203,6.934,6.86,7.35,9.295,12.038,11.91,9.767,8.637,7.738,5.341,2.68,1.922,2.101,2.788,4.214,4.173,2.536,1.14,0.466,0.493,0.613,0.289,0.013,0,0,0,0,181.8025
CC(C)(C)ON=O,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152,2.263,7.397,13.256,15.337,12.918,10.817,9.839,11.911,14.366,9.604,4.468,4.59,5.718,5.644,4.601,3.591,3.202,2.593,1.211,0.207,0,0,0,0,0,0,0,0,0,0,0,0,0,137.424
O=S(=O)(O)c1cc(I)c(O)c2ncccc12,36,0.117,0.415,0.766,0.892,0.761,0.961,1.236,1.143,1.143,1.167,1.066,0.947,0.812,0.939,2.195,4.881,7.641,8.308,6.245,4.507,5.496,8.297,11.135,12.982,15.255,19.323,21.493,17.253,12.867,12.404,10.29,7.504,7.524,9.567,11.303,9.769,4.803,0.889,0,0,0,0,0,0,0,0,0,0,0,0,0,266.2816
CCC(CO)(CO)[N+](=O)[O-],37,0,0,0,0.283,1.063,1.669,1.558,1.228,1.212,1.393,1.389,1.168,1.002,0.93,0.914,1.177,2.506,5.091,7.469,8.589,8.737,8.432,8.267,8.38,7.811,7.183,7.294,7.565,7.06,5.268,5.493,8.657,9.576,6.952,4.955,4.766,4.343,3.367,2.71,2.096,1.133,0.304,0,0,0,0,0,0,0,0,0,177.0613
CCCCCCCCON=O,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058,0.954,2.798,4.583,8.36,16.702,26.183,30.376,27.231,21.222,18.444,19.12,17.641,12.234,7.255,4.977,4.25,3.803,2.796,1.449,0.466,0.062,0,0,0,0,0,0,0,0,0,0,0,0,0,225.7769
O=[N+]([O-])C(I)([N+](=O)[O-])[N+](=O)[O-],39,0,0,0,0,0,0.012,0.089,0.278,0.417,0.515,0.666,1.228,1.943,1.677,1.169,2.48,4.666,4.67,3.026,2.215,3.074,5.631,7.527,8.131,10.154,11.579,12.953,19.438,23.61,18.029,10.639,6.781,4.205,1.668,0.194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.1155
CCN(CC)C(N)=O,40,0,0,0,0,0,0,0,0.015,0.159,0.734,1.616,2.214,2.376,2.292,1.896,1.433,1.411,1.593,2.316,6.183,11.914,14.492,13.917,12.468,11.087,10.095,11.246,12,7.783,3.1,1.578,1.336,1.112,0.996,1.155,1.266,1.576,1.907,2.16,3.05,4.102,4.078,2.784,1.193,0.267,0.011,0,0,0,0,0,159.0269
ClP(Cl)c1ccccc1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.309,2.048,5.61,9.474,10.879,8.548,6.794,7.844,9.299,12.572,17.094,18.913,18.317,16.249,13.638,11.81,9.368,5.227,1.453,0.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.5957
NC(=O)Nc1ccccc1F,42,0,0,0,0,0.012,0.233,0.922,1.58,1.934,2.798,3.381,2.887,2.327,1.874,1.431,1.526,2.59,4.261,6.112,6.916,6.2,5.306,4.841,5.876,7.691,8.806,10.279,13.105,15.138,14.562,12.511,8.87,4.633,1.762,0.893,1.58,1.944,1.944,2.93,3.561,2.552,1.316,0.593,0.156,0.004,0,0,0,0,0,0,173.325
COC(=O)CC(O)C(=O)OC,43,0,0,0,0,0,0,0,0,0,0,0,0.121,0.338,0.362,0.457,1.887,6.178,13.021,17.47,15.602,12.094,12.486,14.099,12.705,9.068,5.374,3.498,3.452,3.753,3.94,4.022,4.235,4.902,5.737,6.55,7.563,7.463,5.693,3.578,2.098,1.766,1.708,0.936,0.189,0,0,0,0,0,0,0,186.4552
COP(=O)(O)OC,44,0,0,0.108,0.552,1.034,0.973,0.843,1.095,1.189,0.811,0.454,0.605,0.739,0.486,0.275,0.29,1.619,6.553,11.252,9.768,7.548,9.468,11.038,9.746,7.075,4.508,2.778,2.317,2.234,2.316,3.354,4.571,4.854,4.631,4.455,3.918,3.118,2.252,2.409,4.127,4.861,2.969,0.722,0.001,0,0,0,0,0,0,0,132.9719
CCC(C)ON=O,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275,1.88,5.895,11.436,15.995,16.453,12.788,10.189,11.139,12.286,10.432,7.549,6.526,6.15,5.157,4.147,3.774,3.192,1.803,0.586,0.083,0,0,0,0,0,0,0,0,0,0,0,0,0,137.4742
ClC1=CCCCC1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063,0.535,1.898,4.83,9.925,14.376,15.722,14.772,12.59,12.112,12.138,8.992,5.771,6.924,10.34,10.344,6.003,1.57,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.4341
O=CC(c1ccccc1)c1ccccc1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206,2.381,9.209,18.296,21.37,17.131,12.712,11.113,10.601,10.315,10.747,11.661,13.078,15.536,16.951,15.71,12.478,7.616,3.867,3.293,3.527,2.744,2.104,1.865,1.084,0.308,0.033,0,0,0,0,0,0,0,0,0,254.051
NCCC(S)C(=O)O,48,0,0,0,0.088,0.482,0.996,1.291,1.324,0.985,0.539,0.365,0.646,1.172,2.165,3.969,5.474,5.886,5.813,5.805,6.014,7.48,9.646,10.067,9.042,7.507,5.687,4.896,5.079,5.274,5.525,5.635,4.874,3.978,4.411,6.081,7.658,7.001,4.07,1.696,0.851,0.574,0.554,0.715,0.621,0.529,0.663,0.562,0.448,0.435,0.253,0.054,161.4241
O=[N+]([O-])C1CCCCC1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205,0.744,1.553,2.057,2.095,2.74,5.269,11.103,17.55,18.559,15.024,12.35,11.091,9.503,7.108,4.435,2.715,2.791,4.914,7.378,7.362,4.954,2.832,2.264,1.896,0.876,0.149,0.009,0,0,0,0,0,0,0,0,0,0,160.6721
CCN(CC)C(=O)N(CC)CC,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.622,6.455,18.62,28.251,28.388,22.97,20.018,19.271,20.622,20.413,11.49,2.923,0.999,0.93,0.944,0.969,0.777,0.547,0.766,1.151,1.157,1.651,3.034,3.739,2.88,1.449,0.576,0.177,0.002,0,0,0,0,244.8926
O=C(NC1CCCCC1)c1ccccc1,51,0,0,0,0,0,0.002,0.086,0.292,0.428,0.394,0.317,0.296,0.264,0.167,0.138,0.359,1.52,4.459,8.586,11.473,14.14,18.518,21.648,21.365,19.577,19.3,20.111,18.87,15.06,11.076,8.149,5.683,2.871,0.794,0.254,0.566,1.312,1.828,2.81,4.001,3.56,2.032,0.859,0.224,0.012,0,0,0,0,0,0,263.6462
O=[N+]([O-])C(F)([N+](=O)[O-])[N+](=O)[O-],52,0,0,0,0,0,0,0.04,0.261,0.559,0.83,1.163,1.245,1.162,1.179,1.27,1.581,1.911,1.934,1.853,2.427,3.302,4.622,6.991,8.786,8.984,9.841,16.774,24.143,20.187,12.004,8.138,5.148,2.2,0.535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.4704
O=C(Cl)Oc1ccccc1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194,1.198,3.805,7.962,10.882,10.768,8.815,6.929,7.407,8.48,8.061,9.057,12.684,15.895,16.663,15.189,11.039,5.869,4.041,4.577,3.716,2.003,0.665,0.046,0,0,0,0,0,0,0,0,0,0,0,0,0,171.3638
NC(=O)OCCCl,54,0,0,0,0,0,0,0,0.225,1.398,2.694,2.563,2.182,2.178,1.729,1.377,2.338,5.069,7.066,6.854,6.275,5.426,4.278,4.869,6.182,5.578,5.206,6.434,6.312,5.127,7.022,10.145,9.687,6.36,3.191,2.319,2.072,1.719,2.958,4.275,3.876,2.193,0.665,0.074,0,0,0,0,0,0,0,0,134.6338
C=C(C)c1ccc(C(C)(C)N=C=O)cc1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.474,3.321,10.216,17.41,20.47,19.537,16.997,16.048,16.471,18.223,19.526,16.569,13.089,12.385,12.432,11.644,10.758,9.344,5.47,1.415,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270.9397
CC(C)OS(=O)(=O)OC(C)C,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173,0.898,2.779,7.771,15.804,21.497,21.413,17.656,13.314,12.177,15.793,15.742,8.442,3.253,2.502,2.583,3.523,6.228,9.031,10.087,9.227,5.587,1.543,0.066,0,0,0,0,0,0,0,0,0,0,0,0,218.2884
N#CC1CCC1C#N,57,0,0,0,0,0,0,0,0,0,0,0,0,0.392,2.587,5.021,4.347,3.347,5.878,9.908,11.164,9.181,7.867,9.101,9.521,6.911,4.817,4.347,3.101,2.422,2.585,2.752,4.292,6.793,8.915,8.245,5.959,5.129,4.182,2.694,1.118,0.09,0,0,0,0,0,0,0,0,0,0,143.8845
CC(C)OC(=O)N(C)c1ccccc1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.467,2.642,9.043,17.03,20.37,19.589,18.539,18.221,17.47,16.929,17.639,16.293,12.008,9.108,8.787,8.383,6.828,4.491,2.708,2.039,1.83,2.583,3.331,2.231,0.617,0.046,0,0,0,0,0,0,0,0,0,249.5373
CCCCCC(CC)C(N)=O,59,0,0,0,0,0,0,0,0.059,0.507,1.492,2.357,2.436,2.096,1.834,1.49,1.184,1.254,1.493,1.712,2.804,6.931,14.24,21.324,25.35,24.387,20.009,18.545,19.923,16.87,8.983,3.319,1.824,1.487,1.103,0.676,0.684,1.172,1.596,2.533,3.802,3.815,2.629,1.52,0.692,0.146,0.001,0,0,0,0,0,229.633
Nc1c2c(nc3ccccc13)CCCCC2,60,0,0,0,0,0,0,0,0.151,0.832,1.721,1.939,1.92,2.071,1.915,1.791,1.814,1.812,2.773,5.296,8.28,11.28,15.246,18.826,18.94,16.651,16.092,16.422,15.958,16.662,17.02,14.532,10.647,6.817,3.206,1.269,0.983,0.884,0.865,0.835,0.819,0.951,1.043,0.982,0.826,0.514,0.293,0.393,0.429,0.217,0.038,0,265.1073
COC(=O)CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],61,0,0,0,0,0,0,0,0,0,0.015,0.233,0.746,1.356,2.646,4.907,6.253,6.491,8.353,10.783,10.304,8.405,8.286,9.231,9.478,8.502,7.631,10.525,17.611,22.624,19.462,12.931,9.74,7.553,5.177,4.157,4.18,3.714,2.231,0.996,0.3,0.006,0,0,0,0,0,0,0,0,0,0,238.2603
CCCN(C=O)CCC,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278,1.976,4.801,8.186,14.494,21.335,22.491,19.303,16.589,15.323,15.972,15.985,10.372,3.162,0.342,0.187,0.423,0.704,0.625,0.597,0.987,1.598,3.075,4.311,3.723,2.6,1.6,0.579,0.073,0,0,0,0,0,0,190.5292
COP(=O)(OC)Oc1ccc(SC)c(C)c1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.648,4.854,13.727,20.568,20.458,18.719,18.59,17.329,15.799,15.149,14.611,13.544,11.598,10.949,12.94,14.389,11.878,7.694,5.986,5.519,4.218,3.032,2.486,3.103,4.132,3.354,1.316,0.162,0,0,0,0,0,0,0,0,300.9126
CN(C(N)=O)C(=O)C(N)=O,64,0,0,0,0,0.01,0.117,0.356,1.457,3.53,4.39,3.955,3.605,2.879,2.381,2.713,2.994,3.236,4.804,6.339,5.753,4.912,6.216,8.46,8.081,6.451,6.182,6.146,5.46,4.463,3.811,3.189,2.836,3.226,4.099,4.797,5.183,6.684,8.725,8.324,5.496,2.59,0.769,0.098,0,0,0,0,0,0,0,0,160.3993
CC(c1ccccc1)[N+](=O)[O-],65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156,1.094,3.491,7.836,13.283,15.745,13.262,9.86,8.021,7.23,8.602,9.467,8.245,8.498,9.433,9.771,11.062,12.233,9.938,5.805,3.711,3.01,2.225,1.294,0.446,0.032,0,0,0,0,0,0,0,0,0,0,0,187.7506
C=CCc1ccc(OC=O)c(OC)c1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,2.049,3.313,3.677,5.566,10.724,17.646,20.31,17.076,13.714,12.418,12.477,12.956,12.284,11.853,12.404,12.016,10.443,8.169,6.375,5.831,5.837,5.723,4.986,3.955,2.371,0.736,0.088,0,0,0,0,0,0,0,0,0,0,246.6751
CC(C)(CO)C(O)C#N,67,0,0,0,0,0.151,0.588,1.162,1.604,1.726,1.773,1.871,1.702,1.433,1.23,1.418,1.951,2.194,2.379,3.693,7.483,11.841,13.152,11.191,8.475,7.179,8.419,10.041,8.047,4.533,2.964,3.249,4.238,4.932,5.876,6.027,5.527,5.32,4.517,3.582,2.632,1.661,0.868,0.221,0,0,0,0,0,0,0,0,173.0445
CNC(=O)Oc1ccc(N(C)C=O)c(C)c1,68,0,0,0,0,0,0,0,0.188,0.834,1.423,1.289,0.912,0.769,0.716,0.617,1.155,4.211,9.24,14.414,18.803,19.158,15.692,13.996,16.184,19.485,19.44,15.295,11.901,10.579,8.831,6.425,4.094,2.693,2.593,2.894,2.643,3.203,6.459,9.053,7.247,3.875,1.841,0.662,0.092,0,0,0,0,0,0,0,272.3845
NC(=O)Cc1cccc2c1CCCC2,69,0,0,0,0,0,0,0,0.102,0.617,1.717,2.653,2.782,2.46,1.881,1.345,1.343,2.031,3.542,6.005,9.228,13.23,16.929,18.353,17.29,15.341,14.594,14.133,12.296,9.826,8.008,7.781,7.662,6.101,4.19,2.91,2.372,2.002,1.553,2.178,3.558,3.731,2.788,1.847,0.948,0.253,0.016,0,0,0,0,0,242.5145
