Normalized SMILES,index,sigma_1,sigma_2,sigma_3,sigma_4,sigma_5,sigma_6,sigma_7,sigma_8,sigma_9,sigma_10,sigma_11,sigma_12,sigma_13,sigma_14,sigma_15,sigma_16,sigma_17,sigma_18,sigma_19,sigma_20,sigma_21,sigma_22,sigma_23,sigma_24,sigma_25,sigma_26,sigma_27,sigma_28,sigma_29,sigma_30,sigma_31,sigma_32,sigma_33,sigma_34,sigma_35,sigma_36,sigma_37,sigma_38,sigma_39,sigma_40,sigma_41,sigma_42,sigma_43,sigma_44,sigma_45,sigma_46,sigma_47,sigma_48,sigma_49,sigma_50,sigma_51,Vcosmo
CC(C)=O,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54,11.3,10.9,9.8,8.82,8.24,13.7,6.54,4.65,1.55,1.62,1.05,0.154,0.847,0.811,1.88,1.54,3.31,4.5,3.77,2.59,1.62,0,0,0,0,0,0,0,0,0,0,0,86.41887
c1cnoc1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0617,1.82,4.63,5.5,5,4.02,4.58,3.65,3.76,4.23,3.61,4.36,3.92,5.65,5.5,7.48,5.25,2.44,4.05,6.25,3.09,1.99,2.26,0.98,2.56,1.16,0.442,0,0,0,0,0,0,0,0,0,0,0,83.25995
OC[C@@H]1CO1,,0,0,0,0,0,0,0,0,0.125,0.747,1.51,0.678,0.897,0.313,1.75,1.33,0.837,0.991,5.26,11.8,10.3,7.37,6.78,6.41,6.01,3.89,3.45,3.03,2.35,3.62,2.64,2.06,1.95,3.04,3.16,4.63,4.61,4.43,2.57,1.92,0.143,0,0,0,0,0,0,0,0,0,0,95.4326
CC1=CCCCC1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0862,5.32,18.9,25,24.5,18.8,22.9,14.3,4.78,2.73,3.07,3.53,1.74,2.01,0.801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.0141
Cc1ccccc1C,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.03,14.1,18.6,17.1,13,10.6,13.7,16.5,8.14,8.13,6.62,6.46,9.55,6.31,4.33,0.218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.88669
Clc1cc(Cl)c(-c2cc(Cl)cc(Cl)c2Cl)c(Cl)c1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171,2.99,7.05,3.26,5.76,6.3,5.36,16.3,7.42,9.63,34,38.4,40.7,47.6,54.8,16.7,0.244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.23396
CO[C@@H](C)CO[C@H](C)CO,,0,0,0,0,0,0,0,0,0,0.251,0.823,0.996,0.648,0.728,0.436,1.01,1.27,0.841,0.732,2.71,11.1,26.1,25.9,23.7,19.7,15,18.4,10.7,5.04,3.44,2.61,2.97,3.04,3.25,4.41,5.15,2.88,3.08,4.27,2.51,0.401,0,0,0,0,0,0,0,0,0,0,203.51215
Clc1cccc(-c2c(Cl)cccc2Cl)c1Cl,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,11.8,12.1,9.83,9.74,11.6,12.4,6.5,14.4,23.8,20.5,34.3,45.9,39,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296.88455
N#CCC#N,,0,0,0,0,0,0,0,0,0,0,0,5.47,7.02,3.06,3.66,2.45,4.18,1.73,0.749,2.02,5.79,1.3,1.09,3.39,6.6,4.44,0.846,3.33,2.31,3.71,3.6,7.23,7.07,10.8,7.45,6.56,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.32982
O=C=O,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.982,9.92,5.07,4.47,1.83,3.46,1.19,4.17,0.796,9.03,1.46,19.6,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.84379
